,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.13(2).0,2022.3.13(2),8,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการเพิ่มขีดความสามารถในการแข่งขัน ด้านการผลิต การตลาด โดยใช้ภูมิปัญญาท้องถิ่น เทคโนโลยี และนวัตกรรม เพื่อเพิ่มศักยภาพภาคการเกษตร,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่าย 1 ๆ ว่ายในการสัมมนาและฝึกอบรม,2022,"1,093,600",False,
1,2022.3.13(2).1,2022.3.13(2),8,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการเพิ่มขีดความสามารถในการแข่งขัน ด้านการผลิต การตลาด โดยใช้ภูมิปัญญาท้องถิ่น เทคโนโลยี และนวัตกรรม เพื่อเพิ่มศักยภาพภาคการเกษตร,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,วัสดุสำนักงาน,2022,"195,000",False,
2,2022.3.13(2).2,2022.3.13(2),10,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาทุนมนุษย์และยกระดับคุคุณภาพชีวิต,งบรายจ่ายอื่น,,,,,,ค่าใช้จ่ายในการบริหารงานกลุ่มจังหวัดแบบบูรณาการ,2022,"5,000,000",False,
3,2022.3.13(2).3,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าจ้างเหมาบริการ,2022,"8,583,000",False,
4,2022.3.13(2).4,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายในการสัมมนาและฝึกอบรม,2022,"430,200",False,
5,2022.3.13(2).5,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงทางและสะพาน,,,ค่าปรับปรุงทางและสะพานที่มีราคาต่อหน่วยต่ำกว่า 10 ล้านบาท รวม 3 รายการ (รวม 3 หน่วย),2022,"18,094,000",False,
6,2022.3.13(2).6,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงทางและสะพาน,,,ปรับปรุงถนนพาราแอสฟัลต์ หนา 0.04 เมตร สายทางบ้านเชียงดี ตำบลโนนทอง อำเภอนายูง จังหวัดอุดรธานี - บ้านม่วง ตำบลบ้านม่วง อำเภอสังคม จังหวัดหนองคาย ช่วง กม.23+560 - กม.30+875 ระยะทางรวม 7.315 กิโลเมตร 1 สายทาง,2022,"30,000,000",False,
7,2022.3.13(2).7,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงทางและสะพาน,,,ยกระดับมาตรฐานและเพิ่มประสิทธิภาพทางหลวงหมายเลข 2146 ตอนหนองบัวลำภู - เขื่อนอุบลรัตน์ ช่วง กม.51+800 - กม.52+900 และ กม.53+949 - กม.55+000 อำเภอโนนสั่ง จังหวัดหนองบัวลำภู ระยะทางรวม 2.151 กิโลเมตร พร้อมงานไฟฟ้าส่องสว่าง 1 สายทาง,2022,"30,000,000",False,
8,2022.3.13(2).8,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงทางและสะพาน,,,ปรับปรุงทางหลวงชนบท ผิวทางแอสฟัลต์ หนา 0.05 เมตร สายทาง บก.4015 แยก ทล.2026 - น้ำตกถ้ำพระ ตำบลโสกก่าม อำเภอบึงโขงหลง จังหวัดบึงกาฬ ช่วง กม.17+230 - กม.19+990 ระยะทาง 2.760 กิโลเมตร 1 สายทาง,2022,"20,000,000",False,
9,2022.3.13(2).9,2022.3.13(2),13,จังหวัดและกลุ่มจังหวัด (2),กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,False,แผนงานยุทธศาสตร์ส่งเสริมการพัฒนาจังหวัดและกลุ่มจังหวัดแบบบูรณาการ,,โครงการการพัฒนาอุตสาหกรรมการท่องเที่ยวอย่างยั่งยืน 4,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงทางและสะพาน,,,ปรับปรุงถนนเข้าแหล่งท่องเที่ยวภูสิงห์ ผิวทางคอนกรีตเสริมเหล็ก หนา 0.15 เมตร สายทางแยก ทช.บก.3007 - ภูสิงห์ (หินสามวาฬ) ตำบลโคกก่อง อำเภอเมืองบึงกาฬ์ จังหวัดบึงกาฬ ช่วง กม.1+800 - กม.4+750 และ กม.0+000 - กม.0+450 ระยะทางรวม 3.400 กิโลเมตร 1 สายทาง,2022,"16,000,000",False,
