,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.3(2).0,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,เงินเดือน,,,,,2022,"30,387,500",False,
1,2022.3.3(2).1,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,ค่าจ้างประจำ,,,,,2022,"3,447,000",False,
2,2022.3.3(2).2,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าจ้างชั่วคราว,,,,,,2022,"2,256,700",False,
3,2022.3.3(2).3,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าตอบแทนพนักงานราชการ,,,,,,2022,"3,432,400",False,
4,2022.3.3(2).4,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการที่ได้รับเงินเดือนเต็มขั้น,2022,"22,100",False,
5,2022.3.3(2).5,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,"1,212,000",False,
6,2022.3.3(2).6,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินประจำตำแหน่งผู้บริหารมีวาระ,2022,"3,381,600",False,
7,2022.3.3(2).7,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนรายเดือนตำแหน่งประเภทผู้บริหารที่มีวาระ,2022,"3,381,600",False,
8,2022.3.3(2).8,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินประจำตำแหน่งผู้บริหารไม่มีวาระ,2022,"254,400",False,
9,2022.3.3(2).9,2022.3.3(2),8,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏธนบุรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนรายเดือนตำแหน่งประเภทผู้บริหารที่ไม่มีวาระ,2022,"254,400",False,
