,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.3(3).0,2022.3.3(3).0,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,เงินเดือน,2022,76053700.0,False
2022.3.3(3).1,2022.3.3(3).1,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,ค่าจ้างประจำํ,2022,7225400.0,False
2022.3.3(3).2,2022.3.3(3).2,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าจ้างชวั(cid:201) คราว,2022,4846800.0,False
2022.3.3(3).3,2022.3.3(3).3,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,8614700.0,False
2022.3.3(3).4,2022.3.3(3).4,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,480000.0,False
2022.3.3(3).5,2022.3.3(3).5,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนรายเดือนตาํแหน่งประเภทผูบ้รหิารทม(cid:201)ีวีาระ,2022,3823200.0,False
2022.3.3(3).6,2022.3.3(3).6,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินประจาํตาํแหน่งผูบ้รหิารทม(cid:201)ีวีาระ,2022,4212000.0,False
2022.3.3(3).7,2022.3.3(3).7,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินประจาํตาํแหน่งผูบ้รหิารทไ(cid:201)ีมม่วีาระ,2022,336000.0,False
2022.3.3(3).8,2022.3.3(3).8,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนรายเดือนตาํแหน่งประเภทผูบ้รหิารทไ(cid:201)ีมม่วีาระ,2022,336000.0,False
2022.3.3(3).9,2022.3.3(3).9,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,499500.0,False
2022.3.3(3).10,2022.3.3(3).10,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,24300.0,False
2022.3.3(3).11,2022.3.3(3).11,2022.3.3(3),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าจ้างพนกังานมหาวทิยาลยั,2022,338277200.0,False
2022.3.3(3).12,2022.3.3(3).12,2022.3.3(3),34,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัราชภฏัสวนสนัุนทา,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านสังคมศาสตร์,,งบลงทุน,ค่าครุภณัฑ์ท(cid:201)ดีินและส(cid:201)ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑก์ารศกึษา,,,ระบบโปรแกรมบริหารด้านโลจสิตกิสแ์ละซพัพลายเชนตาํบลคลองโยงอาํเภอพทุธมณฑลจงัหวดันครปฐม 1 ระบบ,2022,3000000.0,False
