,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.9.0,2022.3.9.0,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,168777300.0,False
2022.3.9.1,2022.3.9.1,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,3389400.0,False
2022.3.9.2,2022.3.9.2,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,53505300.0,False
2022.3.9.3,2022.3.9.3,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,5880000.0,False
2022.3.9.4,2022.3.9.4,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษเงินเดือนเต็มขั้น,2022,321400.0,False
2022.3.9.5,2022.3.9.5,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษสาหรบัผูป้ฏบิตังิานในพื้นทจ่ีงัหวดัชายแดนภาคใต้,2022,96000.0,False
2022.3.9.6,2022.3.9.6,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,1863000.0,False
2022.3.9.7,2022.3.9.7,2022.3.9,16,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,85200.0,False
2022.3.9.8,2022.3.9.8,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนผูป้ฏบิตังิานใหท้างราชการ,2022,110000.0,False
2022.3.9.9,2022.3.9.9,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,2022,1000000.0,False
2022.3.9.10,2022.3.9.10,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเบี้ยประชุมกรรมการ,2022,1500000.0,False
2022.3.9.11,2022.3.9.11,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนเหมาจ่ายแทนการจดัหารถประจาตาแหน่ง,2022,6444000.0,False
2022.3.9.12,2022.3.9.12,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนการปฏิบัติงานของคณะกรรมการตรวจสอบและประเมนิผลประจากระทรวงยุตธิรรม,2022,622000.0,False
2022.3.9.13,2022.3.9.13,2022.3.9,18,กระทรวงยติุธรรม,สำนักงานปลดักระทรวงยติุธรรม,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,สนับสนุนการบริหารจัดการหน่วยงานในสงักดัและใหบ้รกิารแกป่ระชาชนในด้านงานยติุธรรม,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเบี้ยเล้ยีงค่าเช่าทพ่ีกัและค่าพาหนะ,2022,1500000.0,False
